CustomerID,Name,Gender,Region,JoinDate,Age,SubscriptionStatus
1089,Matthew Hernandez,Male,North,2023-04-12,33,Trial
1090,Nicholas Dunlap,Male,South,2020-10-11,62,Active
1091,Brianna Thomas,Female,South-West,2023-05-23,32,Trial
1092,Timothy Hill,Male,West,2023-09-07,77,Expired
1093,Christian Medina,Male,East,2023-02-04,20,Cancelled
1094,Robert Jones,Male,West,2023-11-18,65,Expired
1095,Dr. Jason Scott,Male,South,2021-04-07,27,Expired
1096,Patricia Rogers,Female,South,2024-01-10,62,Trial
1097,Laura Jones,Female,East,2023-12-07,79,Expired
1098,Jeffrey Maxwell,Male,West,2022-01-27,59,Active
1099,Lori Howard,Female,East,2021-02-27,57,Expired
1100,Michael Simon,Male,East,2020-12-27,71,Active
1101,Ryan Martin,Male,South-West,2020-11-14,26,Trial
1102,Robert Hansen,Male,Central,2022-11-19,72,Active
1103,Megan Chandler,Female,East,2023-06-25,49,Expired
1104,David Herrera,Male,West,2021-04-01,71,Expired
1105,Taylor Clarke,Female,Central,2023-03-11,74,Trial
1106,Jennifer Ewing,Female,East,2023-05-16,37,Trial
1107,Emily Hoffman,Female,West,2023-06-09,58,Trial
1108,Sharon Bautista,Female,Central,2022-07-31,29,Cancelled
1109,Aaron Garcia,Male,East,2023-07-31,64,Expired
1110,Melissa Grimes,Female,South,2024-03-14,54,Expired
1111,Ronald Chavez,Male,South-West,2021-06-24,79,Cancelled
1112,Joseph Flores,Male,East,2021-04-03,33,Expired
1113,Louis Jones,Male,Central,2021-07-04,59,Active
1114,Grace Price,Female,South,2022-03-25,70,Trial
1115,Gina Banks,Female,West,2023-09-16,32,Trial
1116,Melissa Rivera,Female,Central,2021-10-25,32,Trial
1117,Amanda Lang,Female,North,2024-04-14,35,Active
1118,Briana Alvarado,Female,South,2022-03-18,80,Active
1119,Cameron Hernandez,Male,East,2022-08-08,49,Active
1120,Daniel Meyer,Male,South,2024-03-15,70,Active
1121,Stephanie Garrison,Female,East,2020-08-21,56,Cancelled
1122,Christopher Martinez,Male,East,2021-10-07,64,Expired
1123,Colleen Greene,Female,South-West,2022-08-21,58,Active
1124,Megan Novak,Female,East,2022-12-19,69,Active
1125,Debbie Andrews,Female,West,2021-05-22,26,Cancelled
1126,Lee Luna,Male,East,2021-01-19,43,Expired
1127,George Edwards,Male,Central,2023-05-12,20,Active
1128,Vincent Day,Male,North,2022-07-03,38,Trial
1129,Karina Jones,Female,East,2023-11-05,50,Active
1130,Mary Sandoval,Female,North,2020-10-06,57,Cancelled
1131,Mark Gomez,Male,West,2020-06-11,34,Trial
1132,Scott Winters,Male,West,2022-09-20,31,Cancelled
1133,Victor Wagner,Male,South-West,2021-06-12,43,Expired
1134,Joseph Aguilar,Male,West,2023-12-05,58,Trial
1135,Christopher Chen,Male,South,2023-09-10,72,Expired
1136,Scott Hernandez,Male,South,2024-02-09,23,Active
1137,Jessica Harmon,Female,South-West,2022-11-05,56,Active
1138,Bonnie Stewart,Female,South,2022-04-19,62,Cancelled
1139,Heather Olson,Female,Central,2021-04-20,55,Trial
1140,Carla Flores,Female,East,2020-09-30,35,Expired
1141,David Palmer,Male,North,2022-09-16,49,Trial
1142,Marvin Hamilton,Male,North,2022-04-23,76,Expired
1143,Miss Chelsea Castro DDS,Female,Central,2021-02-23,55,Cancelled
1144,Brian Browning,Male,East,2023-05-03,47,Trial
1145,Stephanie Powell,Female,East,2023-02-03,25,Expired
1146,Jonathan Andrade,Male,South-West,2020-06-07,52,Expired
1147,William Palmer,Male,South-West,2023-08-14,77,Expired
1148,Dean Allison,Male,West,2021-06-23,23,Cancelled
1149,Jordan Elliott,Female,North,2020-05-13,26,Trial
1150,Bobby Hunter,Male,North,2020-12-06,38,Expired
1151,Sabrina Lester,Female,West,2022-07-16,65,Active
1152,Thomas Garcia,Male,East,2022-09-14,28,Active
1153,Michelle Martinez,Female,East,2023-07-31,22,Active
1154,Edward Castillo,Male,North,2020-10-01,37,Expired
1155,Rachel Goodman,Female,North,2023-04-10,76,Expired
1156,Dennis Acevedo,Male,East,2023-06-18,33,Trial
1157,Cheryl Wu,Female,West,2021-12-10,45,Trial
1158,Kelly Gallagher,Female,East,2024-03-02,76,Active
1159,Kelli Smith,Female,North,2022-01-28,55,Active
1160,Phillip Soto,Male,West,2023-04-21,49,Active
1161,David Ellis,Male,East,2023-01-02,24,Active
1162,Deborah Rice,Female,East,2022-01-14,38,Trial
1163,Elizabeth Vaughn,Female,West,2023-05-01,34,Cancelled
1164,William Ramsey,Male,North,2023-05-04,58,Cancelled
1165,Richard Burnett,Male,Central,2022-07-24,21,Active
1166,David Mccullough,Male,South-West,2021-12-15,63,Expired
1167,Terry Frederick,Female,North,2021-12-20,43,Cancelled
1168,Denise Gonzales,Female,South,2022-05-02,43,Trial
1169,Michael Edwards,Male,South-West,2023-09-26,20,Cancelled
1170,Eric Davis,Male,North,2023-10-15,76,Active
1171,Ronald Marquez,Male,South-West,2024-04-21,26,Active
1172,Eric Barr,Male,East,2023-02-01,30,Active
1173,David King MD,Male,North,2022-09-14,23,Active
1174,Deborah Saunders,Female,West,2021-12-25,52,Trial
1175,Teresa Lopez,Female,West,2021-10-20,44,Active
1176,Ashley Williams,Female,East,2021-11-24,44,Expired
1177,Katherine West,Female,East,2020-11-01,57,Trial
1178,Katherine Kerr,Female,East,2020-11-13,51,Active
1179,Desiree Miller,Female,East,2021-12-21,50,Trial
1180,Jennifer Smith,Female,South-West,2020-10-03,73,Active
1181,Tiffany Smith,Female,East,2024-04-07,49,Expired
1182,James Gray,Male,West,2020-07-24,42,Trial
1183,Kenneth Graves,Male,East,2020-05-08,53,Cancelled
1184,Brittney Chen,Female,East,2023-07-20,69,Active
1185,Cameron Levine,Male,East,2021-07-26,76,Active
1186,Timothy Williams,Male,West,2021-09-28,56,Trial
1187,Kayla Solomon,Female,North,2022-06-10,65,Cancelled
1188,Ashley Todd,Female,North,2023-09-04,38,Trial
1189,Jennifer Farrell,Female,North,2022-11-18,70,Cancelled
1190,Elizabeth Robinson,Female,South-West,2023-12-27,34,Cancelled
1191,Kyle Smith Jr.,Male,South,2023-10-31,45,Active
1192,Gregory Medina,Male,East,2020-06-06,51,Expired
1193,Nancy King,Female,South,2022-05-23,37,Cancelled
1194,Casey Brown,Female,Central,2024-02-09,28,Expired
1195,Michael Lee,Male,South-West,2023-08-22,39,Trial
1196,Dr. Elizabeth Johnston DDS,Female,North,2022-02-09,62,Trial
1197,William Wilson,Male,West,2023-04-04,27,Trial
1198,Chris Allen,Male,South-West,2022-10-11,55,Active
1199,James Cooley,Male,West,2020-07-23,71,Cancelled
1005,Jessica Mora,Female,South,2021-08-05,24,Active
